businessCategory,carLicense,cn                                           ,departmentNumber,description,destinationIndicator,displayName                             ,distinguishedName                                                                                         ,employeeNumber,employeeType,facsimileTelephoneNumber,givenName           ,homePhone ,homePostalAddress,initials,internationaliSDNNumber,l       ,mail                                             ,manager                                                                                      ,mobile           ,o,ou,pager,physicalDeliveryOfficeName,postOfficeBox   ,postalAddress,postalCode,preferredDeliveryMethod,preferredLanguage,registeredAddress,roomNumber,secretary,seeAlso,sn                 ,st                           ,street                      ,telephoneNumber   ,teletexTerminalIdentifier,telexNumber,title                                     ,uid,objectClass         ,memberOf                                                                                              ,objectSid                                      ,objectguid                            ,sAMAccountName      ,primaryGroupID,primaryGroupDN,accountFlags          ,department                                  ,msNPCallingStationID,msRADIUSFramedRoute,msNPAllowDialin,msRADIUSCallbackNumber,msRADIUSFramedIPAddress,mailNickname,homeMDB,msExchHideFromAddressLists,msRTCSIP-UserEnabled,SipAddress,RegistrarPool,LyncPinSet,LyncPinLockedOut,pwdLastSet        ,msDS-PrincipalName             ,userPrincipalName                                ,company                       ,accountExpires          ,c ,co         ,ProxyAddresses                                                                                                                       ,streetAddress               ,name
                ,          ,Sandrine KÄNEL                               ,                ,           ,                    ,Sandrine KANEL                          ,"CN=Sandrine KÄNEL,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                               ,              ,            ,                        ,Sandrine            ,          ,                 ,        ,                       ,Pully   ,sandrine.kanel@olimpico.biz                      ,                                                                                             ,                 , ,  ,     ,Pully                     ,                ,             ,1009      ,                       ,en-GB            ,                 ,          ,         ,       ,KÄNEL              ,                             ,Avenue du Général-Guisan 70A,                  ,                         ,           ,Assistant/e RH - CDM 31.12.2020           ,   ,top                 ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9716 ,{b2d19a3d-2087-47bc-9ad6-32314c47c327},CSAK                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017068114478290,IOCDWTEST2\CSAK                ,sandrine.kanel@olimpico.biz                      ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,CH,Switzerland,SMTP:sandrine.kanel@olimpico.biz                                                                                                     ,Avenue du Général-Guisan 70A,Sandrine KÄNEL
                ,          ,Sandrine KÄNEL                               ,                ,           ,                    ,Sandrine KANEL                          ,"CN=Sandrine KÄNEL,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                               ,              ,            ,                        ,Sandrine            ,          ,                 ,        ,                       ,Pully   ,sandrine.kanel@olimpico.biz                      ,                                                                                             ,                 , ,  ,     ,Pully                     ,                ,             ,1009      ,                       ,en-GB            ,                 ,          ,         ,       ,KÄNEL              ,                             ,Avenue du Général-Guisan 70A,                  ,                         ,           ,Assistant/e RH - CDM 31.12.2020           ,   ,person              ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9716 ,{b2d19a3d-2087-47bc-9ad6-32314c47c327},CSAK                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017068114478290,IOCDWTEST2\CSAK                ,sandrine.kanel@olimpico.biz                      ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,CH,Switzerland,SMTP:sandrine.kanel@olimpico.biz                                                                                                     ,Avenue du Général-Guisan 70A,Sandrine KÄNEL
                ,          ,Sandrine KÄNEL                               ,                ,           ,                    ,Sandrine KANEL                          ,"CN=Sandrine KÄNEL,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                               ,              ,            ,                        ,Sandrine            ,          ,                 ,        ,                       ,Pully   ,sandrine.kanel@olimpico.biz                      ,                                                                                             ,                 , ,  ,     ,Pully                     ,                ,             ,1009      ,                       ,en-GB            ,                 ,          ,         ,       ,KÄNEL              ,                             ,Avenue du Général-Guisan 70A,                  ,                         ,           ,Assistant/e RH - CDM 31.12.2020           ,   ,organizationalPerson,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9716 ,{b2d19a3d-2087-47bc-9ad6-32314c47c327},CSAK                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017068114478290,IOCDWTEST2\CSAK                ,sandrine.kanel@olimpico.biz                      ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,CH,Switzerland,SMTP:sandrine.kanel@olimpico.biz                                                                                                     ,Avenue du Général-Guisan 70A,Sandrine KÄNEL
                ,          ,Sandrine KÄNEL                               ,                ,           ,                    ,Sandrine KANEL                          ,"CN=Sandrine KÄNEL,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                               ,              ,            ,                        ,Sandrine            ,          ,                 ,        ,                       ,Pully   ,sandrine.kanel@olimpico.biz                      ,                                                                                             ,                 , ,  ,     ,Pully                     ,                ,             ,1009      ,                       ,en-GB            ,                 ,          ,         ,       ,KÄNEL              ,                             ,Avenue du Général-Guisan 70A,                  ,                         ,           ,Assistant/e RH - CDM 31.12.2020           ,   ,User                ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9716 ,{b2d19a3d-2087-47bc-9ad6-32314c47c327},CSAK                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017068114478290,IOCDWTEST2\CSAK                ,sandrine.kanel@olimpico.biz                      ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,CH,Switzerland,SMTP:sandrine.kanel@olimpico.biz                                                                                                     ,Avenue du Général-Guisan 70A,Sandrine KÄNEL
                ,          ,David BERCLAZ                                ,                ,           ,                    ,2019-05 - David BERCLAZ                 ,"CN=David BERCLAZ,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                ,              ,            ,                        ,David               ,          ,                 ,        ,                       ,        ,david.berclaz@olimpico.biz                       ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BERCLAZ            ,                             ,                            ,                  ,                         ,           ,Office Manager RH                         ,   ,top                 ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9726 ,{5974bbc3-da02-42e4-b295-2afe353c6240},CDBE                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017800532912516,IOCDWTEST2\CDBE                ,david.berclaz@olimpico.biz                       ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:david.berclaz@olimpico.biz                                                                                                      ,                            ,David BERCLAZ
                ,          ,David BERCLAZ                                ,                ,           ,                    ,2019-05 - David BERCLAZ                 ,"CN=David BERCLAZ,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                ,              ,            ,                        ,David               ,          ,                 ,        ,                       ,        ,david.berclaz@olimpico.biz                       ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BERCLAZ            ,                             ,                            ,                  ,                         ,           ,Office Manager RH                         ,   ,person              ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9726 ,{5974bbc3-da02-42e4-b295-2afe353c6240},CDBE                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017800532912516,IOCDWTEST2\CDBE                ,david.berclaz@olimpico.biz                       ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:david.berclaz@olimpico.biz                                                                                                      ,                            ,David BERCLAZ
                ,          ,David BERCLAZ                                ,                ,           ,                    ,2019-05 - David BERCLAZ                 ,"CN=David BERCLAZ,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                ,              ,            ,                        ,David               ,          ,                 ,        ,                       ,        ,david.berclaz@olimpico.biz                       ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BERCLAZ            ,                             ,                            ,                  ,                         ,           ,Office Manager RH                         ,   ,organizationalPerson,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9726 ,{5974bbc3-da02-42e4-b295-2afe353c6240},CDBE                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017800532912516,IOCDWTEST2\CDBE                ,david.berclaz@olimpico.biz                       ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:david.berclaz@olimpico.biz                                                                                                      ,                            ,David BERCLAZ
                ,          ,David BERCLAZ                                ,                ,           ,                    ,2019-05 - David BERCLAZ                 ,"CN=David BERCLAZ,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                                ,              ,            ,                        ,David               ,          ,                 ,        ,                       ,        ,david.berclaz@olimpico.biz                       ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,BERCLAZ            ,                             ,                            ,                  ,                         ,           ,Office Manager RH                         ,   ,User                ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9726 ,{5974bbc3-da02-42e4-b295-2afe353c6240},CDBE                ,513           ,              ,Normal User Account   ,Département de la direction générale        ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,132017800532912516,IOCDWTEST2\CDBE                ,david.berclaz@olimpico.biz                       ,COMITE INTERNATIONAL OLYMPIQUE,never                   ,  ,           ,SMTP:david.berclaz@olimpico.biz                                                                                                      ,                            ,David BERCLAZ
                ,          ,Mathieu MONTAVON                             ,                ,           ,                    ,Mathieu MONTAVON                        ,"CN=Mathieu MONTAVON,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                             ,              ,            ,                        ,Mathieu             ,          ,                 ,        ,                       ,        ,mathieu.montavon@olimpico.biz                    ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,MONTAVON           ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,top                 ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9657 ,{f878c0e4-d02a-4a5e-b033-4681487bf476},MMMM                ,513           ,              ,Normal User Account   ,Département Culture et Patrimoine           ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294964034886,IOCDWTEST2\MMMM                ,mathieu.montavon@olimpico.biz                    ,FO Culture & Patrimoine       ,never                   ,  ,           ,SMTP:mathieu.montavon@olimpico.biz                                                                                                   ,                            ,Mathieu MONTAVON
                ,          ,Mathieu MONTAVON                             ,                ,           ,                    ,Mathieu MONTAVON                        ,"CN=Mathieu MONTAVON,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                             ,              ,            ,                        ,Mathieu             ,          ,                 ,        ,                       ,        ,mathieu.montavon@olimpico.biz                    ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,MONTAVON           ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,person              ,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9657 ,{f878c0e4-d02a-4a5e-b033-4681487bf476},MMMM                ,513           ,              ,Normal User Account   ,Département Culture et Patrimoine           ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294964034886,IOCDWTEST2\MMMM                ,mathieu.montavon@olimpico.biz                    ,FO Culture & Patrimoine       ,never                   ,  ,           ,SMTP:mathieu.montavon@olimpico.biz                                                                                                   ,                            ,Mathieu MONTAVON
                ,          ,Mathieu MONTAVON                             ,                ,           ,                    ,Mathieu MONTAVON                        ,"CN=Mathieu MONTAVON,OU=UsersIOC,OU=ADUsers,DC=iocdwtest2,DC=olimpico,DC=biz"                             ,              ,            ,                        ,Mathieu             ,          ,                 ,        ,                       ,        ,mathieu.montavon@olimpico.biz                    ,                                                                                             ,                 , ,  ,     ,                          ,                ,             ,          ,                       ,en-GB            ,                 ,          ,         ,       ,MONTAVON           ,                             ,                            ,                  ,                         ,           ,Stagiaire                                 ,   ,organizationalPerson,                                                                                                      ,S-1-5-21-3815044014-1894519165-1751113256-9657 ,{f878c0e4-d02a-4a5e-b033-4681487bf476},MMMM                ,513           ,              ,Normal User Account   ,Département Culture et Patrimoine           ,                    ,                   ,Not Set        ,                      ,                       ,            ,       ,                          ,                    ,          ,             ,          ,                ,131959294964034886,IOCDWTEST2\MMMM                ,mathieu.montavon@olimpico.biz                    ,FO Culture & Patrimoine       ,never                   ,  ,           ,SMTP:mathieu.montavon@olimpico.biz                                                                                                   ,                            ,Mathieu MONTAVON
